ASV,q2.id,Row.names,Domain,Phylum,Class,Order,Family,Genus,Species,ASV,syn.tree id,R2.N05B.y,R2.N05S.y,R2.N10B.y,R2.N10S.y,R2.N15B.y,R2.N15S.y,R2.N20B.y,R2.N20S.y,R2.S05B.y,R2.S05S.y,R2.S10B.y,R2.S10S.y,R2.S15B.y,R2.S15S.y,R2.S20B.y,R2.S20S.y,R3.N05S.y,R3.N10S.y,R3.N15S.y,R3.N20S.y,R3.S05S.y,R3.S10S.y,R3.S15S.y,R3.S20S.y,R4.N05B.y,R4.N05S.y,R4.N10B.y,R4.N10S.y,R4.N15B.y,R4.N15S.y,R4.N20B.y,R4.N20S.y,R4.S05B.y,R4.S05S.y,R4.S10B.y,R4.S10S.y,R4.S15B.y,R4.S15S.y,R4.S20B.y,R4.S20S.y,FL010322.y,FL011722.y,FL020121.y,FL021521.y,FL031521.y,FL032921.y,FL041221.y,FL042621.y,FL051021.y,FL052421.y,FL060721.y,FL062121.y,FL070821.y,FL071921.y,FL080221.y,FL081721.y,FL091321.y,FL092721.y,FL101121.y,FL102521.y,FL110821.y,FL112221.y,FL120621.y,FL122021.y,HPD0.POST.y,HPD0.PRE.y,HPD1.y,HPD14.y,HPD3.y,HPD7.y,asv.id
ASV1792,def7c497e0edb3aaa094889d508c026a,ASV1792,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,f__Cyanobiaceae Family,f__Cyanobiaceae Family,ASV1792,mSyn16,0.000990317,0,0.01372864,0.017194465,0.008664664,0.014051986,0.01426513,0.020893923,0.001832576,0.001972894,0.003359404,0.003700278,0.014615708,0.01605737,0.011906579,0.016940949,0.000657266,0.001203244,0.001236385,0.002499219,0.001578149,0.001143014,0.001420858,0.00081292,0,0,0.001223446,0.001338975,0.001100556,0.001115675,0.001784725,0,0.000461498,0.000727995,0.000874017,0.002011187,0.001491558,0.001645483,0.001606737,0.001713442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1792
ASV1834,e255cbede7d1e3c54daa1a5813367f9a,ASV1834,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,g__Synechococcus_CC9902 Genus,ASV1834,mSyn14,0,0,0.001314444,0.001099983,0.001956537,0.001781238,0.002305476,0.004515537,0,0,0.000472416,0,0.001763965,0.002182555,0.001831781,0.001728668,0,0.001150929,0,0.000937207,0.000789074,0.001188734,0,0,0,0,0,0.00053559,0,0,0,0,0,0,0.001186166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1834
ASV184,15723f9f5dc88cfba159dc030704e79a,ASV184,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV184,fSyn26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233299,0,0.002516251,0,0.001929012,0,0,0,0.007894737,0.001336005,0.002064694,0.002604167,0.001144492,0,0,0,0,0,0,0,0,0,0.001448809,0.001401963,0.002781641,0.001430871,0.00129408,0.001959602,0.001171352,0.000632778,ASV184
ASV1845,e34dbdd51b7461b57db8c8cafb475a90,ASV1845,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,f__Cyanobiaceae Family,f__Cyanobiaceae Family,ASV1845,mSyn13,0,0,0.001679568,0.000868407,0.002305919,0.002770814,0.004971182,0.006964641,0,0,0.001049814,0,0.002939941,0.003273833,0.004350481,0.004632831,0,0,0.001471887,0,0,0.001188734,0,0.001246477,0,0,0.000834168,0,0,0.00101425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1845
ASV1865,e61cadd7d44318d1f8fd4e9b6f487f87,ASV1865,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,g__Synechococcus_CC9902 Genus,ASV1865,mSyn12,0.010233275,0.004587156,0.032642033,0.035488913,0.011739222,0.015833223,0.012103746,0.015766111,0.066485853,0.064676617,0.038633143,0.043335943,0.011927761,0.012861486,0.004503129,0.006499793,0.01834369,0.011352341,0.009007948,0.015047381,0.02737481,0.025146306,0.002671213,0.008075005,0.001302383,0.002624278,0.030641753,0.034866906,0.016624189,0.036411583,0.023878393,0.022331264,0.005867616,0.005493051,0.017917343,0.017849287,0.033589881,0.03580345,0.036345504,0.034446086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1865
ASV1874,e706b6df4e0597376382ab35168aa1b8,ASV1874,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,f__Cyanobiaceae Family,f__Cyanobiaceae Family,ASV1874,mSyn11,0,0,0.002044691,0.00075262,0.002515547,0.004222193,0.005403458,0.009643349,0,0,0,0.000498114,0.002855943,0.004053317,0.003510914,0.005946619,0.001195029,0.000941669,0,0.001614079,0.001092564,0.000914411,0,0,0,0,0.00094539,0.000964062,0.000984708,0,0,0,0,0,0.001435885,0.001759789,0,0.000794371,0,0.001358936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1874
ASV1918,eb7f7d444aad44ce399198254578562c,ASV1918,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1918,fSyn25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002055498,0.003507541,0.002935626,0,0.002121914,0.001592779,0,0,0,0.002672011,0.004588208,0.00380609,0.001716738,0,0,0,0,0,0,0,0,0,0.000482936,0.003805327,0.000869263,0.000715436,0,0.002261079,0.00251004,0.001687408,ASV1918
ASV1941,ee683dd9ff7d7ba0a060437e8e1aa4ce,ASV1941,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,g__Synechococcus_CC9902 Genus,ASV1941,mSyn10,0.006272007,0.002575245,0.018475245,0.019162855,0.006498498,0.007256894,0.005835735,0.010485229,0.037531154,0.032338308,0.029342292,0.024478759,0.005795884,0.006469717,0.002671348,0.004563684,0.015595124,0.011770861,0.006888431,0.011663022,0.018998483,0.01892831,0.00250071,0.005636245,0.001225772,0.001574567,0.020854188,0.024208666,0.009673309,0.018560779,0.013847006,0.011415982,0.003691983,0.004301787,0.011487077,0.009678839,0.020702822,0.019518838,0.019280847,0.021979321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1941
ASV1957,f0485924842ad7d89e41b8a290886255,ASV1957,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_cyanobacterium,ASV1957,bSyn3,0.008912852,0.008047642,0,0,0,0,0,0,0.001319455,0.00214445,0.00078736,0.000711592,0,0,0,0,0.006094646,0.001987968,0.0031204,0.002395085,0.006433991,0.003337601,0,0.001463256,0.002298322,0.001949464,0.001056612,0.001767447,0.000463392,0.001521375,0,0,0.001054852,0,0.001748033,0.001696939,0,0.001191557,0.00094188,0,0,0,0,0,0,0,0,0.002484472,0.003684211,0.001113338,0.002523515,0.009014423,0.002145923,0.002273876,0.007520053,0.002178218,0.013336027,0,0,0,0,0.001254705,0,0.000400561,0.002955494,0,0,0.007386192,0.001338688,0.005062223,ASV1957
ASV2002,f525e8dd4fc706e4f3698944adb36137,ASV2002,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV2002,mSyn9,0.004291373,0,0.009858332,0.009899844,0.009223674,0.005211769,0.010446686,0.011556712,0.003225334,0.003088008,0.005773975,0.004411869,0.012179756,0.010912776,0.011830255,0.012446411,0.006990918,0.005283809,0.003179276,0.00479017,0.018330804,0.010470007,0.001364024,0.003847821,0,0,0.005950395,0.00583793,0.003996756,0.005223389,0.004800295,0.004005608,0,0,0.004557373,0.004588021,0.003460414,0.004255561,0.004931021,0.006322009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV2002
