ASV.ID,Taxon,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
ce7b37d37605ee2e18f76bb8a020a3a9,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__uncultured_Flavobacteriaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_Flavobacteriaceae,0.9474339987970317
ce869337b436fa4b9117ab7b6690646e,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__KI89A_clade;g__KI89A_clade;s__uncultured_gamma,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__KI89A_clade,g__KI89A_clade,s__uncultured_gamma,0.9550340774571973
ce8c44024ab7171539257ed3709f2164,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,0.9999993141683078
ce9338bb062ddbcab0129ac86c655023,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__uncultured;s__uncultured_Cryomorphaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,s__uncultured_Cryomorphaceae,0.7038769872854352
ce946053bd112bc764ef8f27e5ba940f,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__SAR116_clade;g__SAR116_clade;s__SAR116_cluster,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__SAR116_cluster,0.7735903779721567
ce946d087c9a76196340f58c84573f53,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__unidentified_marine,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__unidentified_marine,0.7951126328875706
ce980d4fc04b5b465e4b5c4ddf3d7a09,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__marine_metagenome,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__marine_metagenome,0.9960407659965735
ceadd387e7aaca6b666695de2aa3d2b8,d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_bacterium,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,0.9177339677188727
ceb5b88d87c1c3cab2c4ee33595c5f49,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,,0.9999722238508958
ceb647d0b32eb58f3bf0ed90629a05d8,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__Candidatus_Finniella;s__uncultured_bacterium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Finniella,s__uncultured_bacterium,0.9999055058986784
ceba1123564b7c57b62d4514e035a061,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;s__Picochlorum_sp.,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Picochlorum_sp.,0.9490459967141273
cec15b8e3b4741951032f69f139c1d5b,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium_PCC-6307,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,0.9976316219222627
cec434a3072b0a70e86a95e9bcbf425d,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;s__unidentified_marine,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_II,g__Clade_II,s__unidentified_marine,0.7181878644696765
cec931e701c06632b45171f8cc31fed7,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b;s__uncultured_bacterium,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__A4b,s__uncultured_bacterium,0.9666714162961404
cecb257166bb516df09b75c5c18c9a47,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatellaceae;s__uncultured_bacterium,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Blastocatellaceae,s__uncultured_bacterium,0.7682294845272379
cecc458bf97f438144f1903e0e88da83,Unassigned,Unassigned,,,,,,,0.3340057386130729
cecf95c5c6247d010786dbd43c6c0763,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__IMCC26256,g__IMCC26256,,0.9999904609555673
cedbd53c22d4d2afebed77796944579f,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;s__Mychonastes_jurisii,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Mychonastes_jurisii,1
cee0774c00acca90f7b8e1fb63d0d6aa,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__SAR116_clade;g__Candidatus_Puniceispirillum,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__Candidatus_Puniceispirillum,,0.7926371225215015
cee84bc3c10f81c69ad7a047a0da5977,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Candidatus_Nitrosopumilus,,0.8681052103449649
ceeba66516fc23c3819953eb47a4733e,d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__planctomycete_A-2,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__planctomycete_A-2,0.7269837322243778
ceecfc26bf4a8e003ef43b83f91fb4a2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__OM43_clade;s__Methylophilales_bacterium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__OM43_clade,s__Methylophilales_bacterium,0.908534419
ceef56ac36936332ef2ba58f5e88ee5e,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales;f__Hydrogenedensaceae;g__Hydrogenedensaceae;s__uncultured_bacterium,d__Bacteria,p__Hydrogenedentes,c__Hydrogenedentia,o__Hydrogenedentiales,f__Hydrogenedensaceae,g__Hydrogenedensaceae,s__uncultured_bacterium,0.8331238537056235
cef41d892b14ad2fa194c227d61dcd18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,,0.9999901341545516
cefb21742addbc3898f43026f4bb861d,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__KI89A_clade;g__KI89A_clade;s__uncultured_gamma,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__KI89A_clade,g__KI89A_clade,s__uncultured_gamma,0.9560963201772796
cefb61b2cfd08c0672ad3fab0da4bfa7,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;s__uncultured_sludge,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__Kapabacteriales,g__Kapabacteriales,s__uncultured_sludge,0.9999824128202728
cf0227a4abbc7349d986f5803e9b5e81,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__uncultured_bacterium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,s__uncultured_bacterium,0.9986129134612914
cf0b2cce68ce0c44677900d47a3bd9a4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__uncultured,,0.9999043525234774
cf147aa44ba8a0c55eb82de3b2777035,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__DEV114;s__uncultured_bacterium,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__DEV114,s__uncultured_bacterium,0.9999956096661461
cf1a3b027265d08b85d19b4563695f96,d__Bacteria;p__Dadabacteria;c__Dadabacteriia;o__Dadabacteriales;f__Dadabacteriales;g__Dadabacteriales;s__metagenome,d__Bacteria,p__Dadabacteria,c__Dadabacteriia,o__Dadabacteriales,f__Dadabacteriales,g__Dadabacteriales,s__metagenome,0.9994579559252101
cf1c694437e4070830678bb1d1935ef5,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade;s__uncultured_delta,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__uncultured_delta,0.9041599052497266
cf2556495f6061cdb4643b6b33c31281,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24;g__R7C24,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__R7C24,f__R7C24,g__R7C24,,0.9999804381145352
cf25cd62f6d6ad4f3bc3a2d20455bdb8,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__MB11C04_marine_group;s__uncultured_marine,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__MB11C04_marine_group,s__uncultured_marine,0.9518138917278166
cf521bf1aaf537ec8dbe1248aa7f4370,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__uncultured_bacterium,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__uncultured_bacterium,0.9601909754927336
cf61c47653cb2bc4385b440d9220aff4,d__Bacteria;p__Margulisbacteria;c__Margulisbacteria;o__Margulisbacteria;f__Margulisbacteria;g__Margulisbacteria;s__uncultured_bacterium,d__Bacteria,p__Margulisbacteria,c__Margulisbacteria,o__Margulisbacteria,f__Margulisbacteria,g__Margulisbacteria,s__uncultured_bacterium,0.9999738542406715
cf6f22f5ce10d6eaf299c75dadc88ce7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum,,0.8567649765003447
cf7527feb8685352d7e9bd9238c28df7,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;s__uncultured_bacterium,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_bacterium,0.891702796
cf793ef01b8397a119b652860a03ada7,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__uncultured,g__uncultured,,0.9653515711307213
cf8089dd21f6f78009c45b5c806dc885,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__uncultured_marine,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__HIMB11,s__uncultured_marine,0.7761351729462206
cf8d5304eb82e968655cb37c903c2e5f,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__CL500-3;s__uncultured_bacterium,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_bacterium,0.9999998777576952
cf9064dee8ee8765cc19d71da7758c93,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,0.9999998147278522
cf9ebc0e2972d5dcf9261656e9b26238,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis_PCC-7914,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Microcystaceae,g__Microcystis_PCC-7914,,0.9999999990810503
cfa2aa3a765481073dce44513898b35b,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__Cm1-21;s__uncultured_bacterium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Nitrosococcaceae,g__Cm1-21,s__uncultured_bacterium,0.8628159140153937
cfa57edb5b1d141ccb13e5312c120b0d,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;s__uncultured_Legionellales,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__Coxiella,s__uncultured_Legionellales,0.9941618347646646
cfa5a0b7535fe29430ad1793c7d77cdb,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Balneola;s__uncultured_bacterium,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Balneola,s__uncultured_bacterium,0.7043028753904271
cfa6247cf30ceb38d50d0df7bdc346f1,d__Bacteria;p__Proteobacteria,d__Bacteria,p__Proteobacteria,,,,,,0.710153285
cfa8092c5956211d48ae134041adf2a9,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,0.9999937887186051
